INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
569564,800021501,VOA COMMUNITY HOME I,1824 S Fielder Rd,Arlington,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76013,32.714569,-97.132143,R,85,5/26/2016
569566,800021120,NEW HAVEN APARTMENTS,714 Jonathan St,Athens,"Athens, TX Micropolitan Statistical Area",11980,Henderson,213,TX,48,75751,32.21132,-95.865377,R,70,5/5/2016
569567,800021404,TURNER APARTMENTS,501 E California St,Gainesville,"Gainesville, TX Micropolitan Statistical Area",23620,Cooke,097,TX,48,76240,33.624464,-97.141594,R,81,5/17/2016
569570,800215445,EVANGELINE BOOTH GARDEN,2627 Cherrybrook Ln,Pasadena,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77502,29.677289,-95.174765,R,73,4/11/2016
569571,800213222,Meadow Brook,3045 Eisenhauer Rd,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78209,29.495913,-98.440771,R,99,5/24/2016
569572,800020676,Balcones Haus,246 Loma Vista St,New Braunfels,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Comal,091,TX,48,78130,29.677845,-98.144806,R,90,4/28/2016
569575,800021338,SHAMROCK ADDITION,801 Courtney Dr,Dublin,"Stephenville, TX Micropolitan Statistical Area",44500,Erath,143,TX,48,76446,32.075644,-98.342834,R,92,4/11/2016
569577,800021466,Valley View Apartments,602 E Ebony Ave,McAllen,"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",32580,Hidalgo,215,TX,48,78501,26.206027,-98.213615,R,97,5/25/2016
569578,800020645,Alice Housing Authority,125 Olmito St,Alice,"Alice, TX Micropolitan Statistical Area",10860,Jim Wells,249,TX,48,78332,27.749486,-98.062032,R,88,3/31/2016
569579,800074549,PAUL CHASE COMMON,16440 Moon Rock Dr,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77058,29.574491,-95.105929,R,95,4/7/2016
569580,800211681,PECAN VILLAGE aka MHMR OF BAYTOWN,2208 Cedar Bayou Rd,Baytown,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77520,29.74941,-94.940016,R,98,3/29/2016
569581,800021319,San Jose Apartments,2914 Roosevelt Ave,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78214,29.371641,-98.481053,R,91,6/3/2016
569582,800020679,Bavarian Manor,614 Bavarian Dr,New Braunfels,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Comal,091,TX,48,78130,29.699239,-98.140076,R,96,5/11/2016
