STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,Wheeler,6879271.12,53.51574928,Relatively Low,81.37999725,Very High,22.30999947,Relatively Low,0.4566929134,2.484662056,1.513785973
Texas,Wichita,23222923.79,82.46897868,Relatively Low,82.84999847,Very High,37.56000137,Relatively Low,0.6968503937,2.547827005,1.242314663
Texas,Wilbarger,6635242.372,52.17944639,Relatively Low,94.01999664,Very High,54.00999832,Relatively Moderate,0.8818897638,2.613436937,1.384370662
Texas,Willacy,26880795.87,84.88705059,Relatively Moderate,96.05000305,Very High,5,Very Low,0.1614173228,2.370362043,1.801016903
Texas,Williamson,33306911.36,87.43238944,Relatively Moderate,34.43999863,Relatively Low,79.12000275,Relatively High,0.9921259843,2.70925498,0.9676327057
Texas,Wilson,16846928.91,76.5828826,Relatively Low,40.36000061,Relatively Moderate,56.45999908,Relatively Moderate,0.8937007874,2.622097015,1.293454544
Texas,Winkler,623289.1744,2.577155584,Very Low,56.68000031,Relatively Moderate,18.62000084,Very Low,0.3976377953,2.46568799,1.269915563
Texas,Wise,19056152.55,79.06458797,Relatively Low,58.5,Relatively Moderate,28.48999977,Relatively Low,0.531496063,2.510881901,1.222834507
Texas,Wood,4318097.556,36.68469615,Very Low,70.55999756,Relatively High,23.22999954,Relatively Low,0.4763779528,2.490020037,1.27825878
Texas,Yoakum,6104847.67,48.90232262,Relatively Low,48.31000137,Relatively Moderate,1.779999971,Very Low,0.06299212598,2.304054022,1.482060197
Texas,Young,6337980.482,50.23862552,Relatively Low,53.90999985,Relatively Moderate,32.11000061,Relatively Low,0.6023622047,2.526113987,1.263223235
Texas,Zapata,2918551.621,22.8762329,Very Low,99.62000275,Very High,0.25,Very Low,0.01181102362,2.117193937,1.963005828
Texas,Zavala,5184271.951,43.46166083,Very Low,93.56999969,Very High,2.359999895,Very Low,0.08267716535,2.323245049,1.829299919
,,,,,,,,,,,
,,,,,,,,,,,
STATE,COUNTY,,,RISK_RATNG,,,,,,,CRF_VALUE
Texas,Anderson,,,Relatively Low,,,,,,,1.370186479
Texas,Andrews,,,Very Low,,,,,,,1.308992364
